cast,director,genre,opening_date,opening_year,title
"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham, Murali Sharma, Avtar Gill",Bejoy Nambiar,thriller,2016-01-08,2016,Wazir
"Shabana Azmi, Juhi Chawla, Divya Dutta, Zarina Wahab, Jackie Shroff, Arya Babbar, Richa Chadha",Jayant Gilatar,drama,2016-01-15,2016,Chalk n Duster
"Prince Shah, Shashank Singh, Mantra Mugdha, Kirti Adarkar, Bachchan Pachera, Shaneel Sinha",Krishan Hooda,biopic,2016-01-15,2016,Rebellious Flower
"Akshay Kumar, Nimrat Kaur, Purab Kohli, Ferena Wazeir, Gunjan Malhotra",Raja Krishna Menon,"war,thriller",2016-01-22,2016,Airlift
"Sugandha Garg, Siddhant Behl, Sadhana Singh, Anuritta K Jha, Samir Sharma",Shefali Bhushan,musical drama,2016-01-22,2016,Jugni
"Tushar Kapoor, Aftab Shivdasani, Mandana Karimi, Meghna Naidu, Darshan Jariwala, Krushna Abhishek, Claudia Ciesla, Riteish Deshmukh, Gizele Thakral, VJ Andy, Danny Saru",Umesh Ghadge,adult comedy,2016-01-22,2016,Kyaa Kool Hain Hum 3
"R. Madhavan, Ritika Singh, Zakir Hussain",Sudha Kongara Prasad,sports,2016-01-29,2016,Saala Khadoos
"Tushar Kapoor, Vir Das, Sunny Leone, Shaad Randhawa, Riteish Deshmukh, Gizele Thakral, Bruna Abdullah",Milap Milan Zaveri,adult comedy,2016-01-29,2016,Mastizaade
"Mawra Hocane, Harshvardhan Rane, Anurag Sinha, Shraddha Das","Radhika Rao, Vinay Sapru",romance,2016-02-05,2016,Sanam Teri Kasam
"Sunny Deol, Soha Ali Khan, Aanchal Munjal, Daina Khan, Shivam Patil, Rishabh Arora, Abhilash Kumar",Sunny Deol,"action,drama",2016-02-05,2016,Ghayal: Once Again
"Aditya Roy Kapoor, Katrina Kaif, Tabu, Ajay Devgn, Aditi Rao Hydari, Akshay Oberoi, Lara Dutta, Rahul Bhatt",Abhishek Kapoor,"romance,drama",2016-02-12,2016,Fitoor
"Pulkit Samrat, Yami Gautam, Urvashi Rautela, Rishi Kapoor, Bharti Singh, Shreyas Pardiwalla",Divya Khosla Kumar,romance,2016-02-12,2016,Sanam Re
"Rajneesh Duggal, Nidhi Subbaiah, Arjun Bijlani",Rajiv S. Ruia,drama,2016-02-19,2016,Direct Ishq
"Krishna Chaturvedi, Ruhi Singh, Javed Jaffrey, Lisa Ray",Sameer Sippy,drama,2016-02-19,2016,Ishq Forever
"Girish Kumar, Navneet Kaur Dhillon, Benaf Dadachandji, Yash Pandit",Vaibhav Mishra,romance,2016-02-19,2016,LoveShhuda
"Sonam Kapoor, Shabana Azmi, Shekhar Ravjiani",Ram Madhvani,"biopic,drama",2016-02-19,2016,Neerja
"Rufy Khan, Dipti Dhotre, Gulshan Pandey",Jitender Singh Narukal,"actiom,drama",2016-02-26,2016,Dhara 302
"Manoj Bajpayee, Rajkummar Rao",Hansal Mehta,"biopic,drama",2016-02-26,2016,Aligarh
"Raima Sen, Ashish Vidyarthi, Salim Diwan, Karuna Pandey, Vineet Kumar Singh",K.D. Satyam,drama,2016-02-26,2016,Bollywood Diaries
"Anuj Sachdeva, Nidhi Subbaiah, Manit Joura",Sandesh Nayak,"romance,comedy",2016-02-26,2016,Love Shagun
"Manish Paul, Sikander Kher, Pradhuman Singh, Sugandha Ram",Abhishek Sharma,comedy,2016-02-26,2016,Tere Bin Laden: Dead or Alive
"Vicky Kaushal, Sarah Jane Dias, Raghav Chanana",Mozez Singh,drama,2016-03-04,2016,Zubaan
"Priyanka Chopra, Anuj Aggarwal, Prakash Jha, Rahul Bhatt",Prakash Jha,"drama,comedy",2016-03-04,2016,Jai Gangaajal
"Abhimanyu Singh, Sandeepa Dhar, Ravi Kishan, Pankaj Tripathi, Sanjay Mishra, Akhilendra Mishra",Manoj Sidheshwari Tewari,satire,2016-03-11,2016,Global Baba
"Himesh Reshammiya, Farah Karimi, Monica Dogra, Naseeruddin Shah, Shekhar Kapur",Shawn Arranha,"action,thriller,romance",2016-03-11,2016,Teraa Surroor
"Zoya Rathore, Sapan Krishna, Vaidhei Singh, Megha Verma, Ravi Thakur, Milan Singh",Utpal S. Chaudhary,"drama,thriller",2016-03-11,2016,OK Mein Dhokhe
"Gaurav Pandey, Ashish Tyagi, Neha Chaterji",Rajkumar Hindusthani,"drama,thriller",2016-03-11,2016,Darling Don't Cheat
"Sidharth Malhotra, Alia Bhatt, Fawad Khan, Rishi Kapoor, Sukant Goel",Shakun Batra,"drama,comedy",2016-03-18,2016,Kapoor & Sons
"John Abraham, Shruti Haasan, Nathalia Kaur",Nishikant Kamat,action,2016-03-25,2016,Rocky Handsome
"Kareena Kapoor Khan, Arjun Kapoor, Amitabh Bachchan, Jaya Bachchan",R. Balki,romantic comedy,2016-04-01,2016,Ki & Ka
"Patralekha, Tara Alisha Berry, Gaurav Arora",Vikram Bhatt,thriller,2016-04-08,2016,Love Games
"Naseeruddin Shah, Vipin Sharma, Vinay Forrt",Anup Kurien,thriller,2016-04-08,2016,The Blueberry Hunt
"Alok Chaturvedi, Joydip Mukhopadhyay, Megh Pant, Priya Raina, Chandrahas Tiwari",Ram Ramesh Sharma,drama,2016-04-10,2016,Kaafiron Ki Namaaz
"Shah Rukh Khan, Waluscha de Sousa, Sayani Gupta, Shriya Pilgaonkar",Maneesh Sharma,"action,drama,thriller",2016-04-15,2016,Fan
"Swara Bhaskar, Ratna Pathak, Pankaj Tripathi, Sanjay Suri",Ashwini Iyer Tiwari,"comedy,drama",2016-04-22,2016,Nil Battey Sannata
"Randeep Hooda, Akshay Oberoi, Rajneesh Duggal, Piaa Bajpai",Syed Ahmad Afzal,action,2016-04-22,2016,Laal Rang
"Vir Das, Boman Irani, Ram Kapoor, Neha Dhupia, Lisa Haydon",Akashdeep Sabir,comedy,2016-04-22,2016,Santa Banta Pvt Ltd
"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Sunil Grover",Sabbir Khan,action,2016-04-29,2016,Baaghi
"Jimmy Shergill, Aashi Rawal, Sharvil Patel, Mann Patel, Ugam Khetani, Stuti Dwivedi, Deah Tandon, Hardil Kanaba",Amitabha Singh,"adventure, drama",2016-04-29,2016,Shortcut Safari
"Sunny Leone, Tanuj Virwani, Nyra Banerjee",Jasmine Moses D'Souza,thriller,2016-05-06,2016,One Night Stand
"Manoj Bajpayee, Jimmy Sheirgill, Divya Dutta, Kitu Gidwani, Prosenjit Chatterjee, Sachin Khedekar, Nikita Thukral, Vishal Singh, Jishnu Raghavan, Parambrata Chatterjee",Rajesh Pillai,thriller,2016-05-06,2016,Traffic
"Sharman Joshi, Meera Chopra, Vishal Karwal",Tinu Suresh Desai,horror,2016-05-06,2016,1920: London
"Emraan Hashmi, Nargis Fakhri, Prachi Desai, Gautam Gulati, Kunaal Roy Kapur, Lara Dutta, Karanvir Sharma",Tony D'Souza,biopic,2016-05-13,2016,Azhar
"Arunoday Singh, Mahie Gill, Anchal Dwivedi, Pallavi Joshi, Anupam Kher",Vivek Agnihotri,political drama,2016-05-13,2016,Buddha in a Traffic Jam
"Ruslaan Mumtaz, Devshi Khanduri",Kunal V Singh,comedy,2016-05-13,2016,Khel Toh Ab Shuru Hoga
"Arvind Swamy, Himanshu Sharma, Ekavali Khanna",Tanuj Bhramar,drama,2016-05-16,2016,Dear Dad
"Gippy Grewal, Karishma Kotak, Rishaan Dutta",Mandeep Kumar,comedy,2016-05-20,2016,Kaptaan
"Aishwarya Rai, Randeep Hooda, Richa Chadha",Omung Kumar,biopic,2016-05-20,2016,Sarbjit
"Radhika Apte, Satyadeep Misra",Pawan Kripalani,"thriller,horror",2016-05-27,2016,Phobia
"Sandeep Bharadwaj, Lisa Ray, Sachiin Joshi, Usha Jadhav",Ram Gopal Varma,"action,biopic",2016-05-27,2016,Veerappan
"Prashant Narayanan, Avinash Dhyani",Rajesh Butalia,action,2016-05-27,2016,Fredrick
"Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, Jacqueline Fernandez, Lisa Haydon, Nargis Fakhri, Nikitin Dheer, Jackie Shroff",Sajid-Farhad,comedy,2016-06-03,2016,Housefull 3
"Om Puri, Dalip Tahil, Seema Biswas","Prakash Patel, Bhavin Wadia",drama,2016-06-03,2016,Project Marathwada
"Randeep Hooda, Kajal Aggarwal",Deepak Tijori,romantic,2016-06-10,2016,Do Lafzon Ki Kahani
"Hetal Gadda, Krrish Chabbria, Vipin Sharma, Vibha Chibber, Vijay Maurya",Nagesh Kukunoor,drama,2016-06-10,2016,Dhanak
"Amitabh Bachchan, Vidya Balan, Nawazuddin Siddiqui",Ribhu Dasgupta,thriller,2016-06-10,2016,Te3n
"Shahid Kapoor, Alia Bhatt, Kareena Kapoor Khan, Diljit Dosanjh",Abhishek Chaubey,crime,2016-06-17,2016,Udta Punjab
"Nawazuddin Siddiqui, Vicky Kaushal, Sobhita Dhulipala",Anurag Kashyap,"crime,thriller",2016-06-24,2016,Raman Raghav 2.0
"Pulkit Samrat, Yami Gautam, Gulshan Devaiah, Hrishita Bhatt",Vivek Agnihotri,romance,2016-06-24,2016,Junooniyat
"Shiv Panditt, Sandeepa Dhar, Natasa Stankovic, Varun Badola",Saurabh Varma,"crime,thriller",2016-06-24,2016,7 Hours To Go
"Manav Kaul, Tanvi Vyas",Ishaan Shrivedi,adult,2016-06-24,2016,A Scandall
"Amaan Khan, Tannishtha Chatterjee",Ananth Narayan Mahadevan,drama,2016-06-24,2016,Rough Book
"Jimmy Sheirgill, Suha Gezen, Ashutosh Rana, Narendra Jha","Pranav Kumar Singh, Jitendra Tiwari",political drama,2016-07-01,2016,Shorgul
"Haider Khan, Sadha, Raj Babbar, Zeenat Aman, Sushmita Mukherjee, Alok Nath, Hemant Pandey",Raja Bundela,"comedy,romance",2016-07-01,2016,Dil Toh Deewana Hai
"Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh, Parikshit Sahni, Kumud Mishra",Ali Abbas Zafar,"sports,drama",2016-07-06,2016,Sultan
"Shashank Arora, Sid Mallya, Denzil Smith, Biswa Kalyan Rath, Tanmay Dhananiya, Vaishwath Shankar",Qaushiq Mukherjee,comedy,2016-07-06,2016,Brahman Naman
"Vivek Oberoi, Riteish Deshmukh, Aftab Shivdasani, Urvashi Rautela, Shraddha Das, Mishti, Pooja Bose, Sonali Raut, Shreyas Talpade",Indra Kumar,"sex comedy,horror",2016-07-15,2016,Great Grand Masti
"Irrfan Khan, Jimmy Sheirgill",Nishikant Kamat,drama,2016-07-22,2016,Madaari
"Adhyayan Suman, Sara Loren",Anil Ballani,"romance,drama",2016-07-22,2016,Ishq Click
"Imaad Shah, Ira Dubey, Raaghav Chanana",Agneya Singh,road movie,2016-07-22,2016,M Cream
"John Abraham, Varun Dhawan, Jacqueline Fernandez, Saqib Saleem, Ram Kapoor, Akshaye Khanna, Parineeti Chopra",Rohit Dhawan,action,2016-07-29,2016,Dishoom
"Shaleen Bhanot, Pooja Banerjee",Indervesh Yogee,comedy,2016-07-29,2016,Love Ke Funday
"Vijay Raaz, T. R. Bijulal",Dipu Karunakaran,documentary,2016-07-29,2016,Mission Tiger
"Arshad Warsi, Aditi Rao Hydari, Boman Irani, Kayoze Irani",Manish Jha,"romance,drama",2016-08-05,2016,The Legend of Michael Mishra
"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson, Victor Banerjee, Caterina Murino, Ankita Makwana",Rajeev Jhaveri,thriller,2016-08-05,2016,Fever
Sahil Anand,Monjoy Mukerji,"comedy,romance",2016-08-05,2016,Hai Apna Dil Toh Awara
"Hrithik Roshan, Pooja Hegde, Kabir Bedi, Arunoday Singh, Sharad Kelkar",Ashutosh Gowariker,period drama,2016-08-12,2016,Mohenjo Daro
"Akshay Kumar, Ileana D'Cruz, Esha Gupta, Arjan Bajwa",Tinu Suresh Desai,"romance,thriller",2016-08-12,2016,Rustom
"Abhay Deol, Diana Penty, Momal Sheikh, Ali Fazal, Jimmy Sheirgill",Mudassar Aziz,comedy,2016-08-19,2016,Happy Bhag Jayegi
"Niharica Raizada, Lucy Pinder, Rajat Barmecha",Param Gill,action,2016-08-25,2016,Waarrior Savitri
"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh",Remo D'Souza,"superhero,action,comedy",2016-08-25,2016,A Flying Jatt
"Sonakshi Sinha, Konkona Sen Sharma, Raai Laxmi, Amit Sadh, Anurag Kashyap, Atul Kulkarni",A.R. Murugadoss,"action,drama",2016-09-02,2016,Akira
"Arbaaz Khan, Jimmy Sheirgill, Pooja Chopra, Bruna Abdullah, Devansh Sharma",Anwer Khan,"action,drama",2016-09-02,2016,Yea Toh Two Much Ho Gayaa
"Tannishtha Chatterjee, Ashwin Mushran, Vinay Pathak, Amruta Subhash",Ruchika Oberoi,drama,2016-09-02,2016,Island City
"Katrina Kaif, Sidharth Malhotra, Ram Kapoor, Taaha Shah, Sarika, Sayani Gupta",Nitya Mehra,"drama,romance",2016-09-09,2016,Baar Baar Dekho
"Nawazuddin Siddiqui, Arbaaz Khan, Amy Jackson, Jas Arora, Seema Biswas, Nikitin Dheer, Asif Basra, Paresh Ganatra, Alam Khan",Sohail Khan,"comedy,sports",2016-09-09,2016,Freaky Ali
Rakhi Sawant,Aziz Zee,thriller,2016-09-09,2016,Ek Kahani Julie Ki
"Emraan Hashmi, Kriti Kharbanda, Gaurav Arora, Suzanna Mukherjee",Vikram Bhatt,horror,2016-09-16,2016,Raaz: Reboot
"Amitabh Bachchan, Taapsee Pannu, Kirti Kulhari, Andrea Tariang, Angad Bedi",Aniruddha Roy Chowdhury,drama,2016-09-16,2016,Pink
"Tannishtha Chatterjee, Radhika Apte, Surveen Chawla, Sayani Gupta",Leena Yadav,drama,2016-09-23,2016,Parched
"Riteish Deshmukh, Nargis Fakhri, Dharmesh Yelande",Ravi Jadhav,"comedy,drama",2016-09-23,2016,Banjo
"Yash Soni, Nimisha Mehta",Krishnadev Yagnik,comedy,2016-09-23,2016,Days of Tafree
"Shreyas Talpade, Manjari Phadnis, Hemant Pandey, Rajesh Sharma, Rajeev Verma",Ajit Sinha,satirical,2016-09-23,2016,Wah Taj
"Sushant Singh Rajput, Anupam Kher, Herry Tangri, Kiara Advani, Disha Patani, Bhumika Chawla",Neeraj Pandey,"biopic,sports",2016-09-30,2016,M.S. Dhoni: The Untold Story
"Harshvardhan Kapoor, Saiyami Kher, Om Puri, Art Malik, K.K. Raina",Rakeysh Omprakash Mehra,"drama,romance",2016-10-07,2016,Mirzya
"Gurmeet Ram Rahim Singh, Honeypreet Insan, Charapreet Insan, Kainaat Insan, Garima Insan, Rajesh Insan, Sukhottam Insan, Ashok Insan, Bhushan Insan","Gurmeet Ram Rahim Singh, Honeypreet Insan",adventure,2016-10-07,2016,MSG: The Warrior Lion Heart
"Prabhu Deva, Tamannaah, Sonu Sood",A. L. Vijay,supernatural comedy,2016-10-07,2016,Tutak Tutak Tutiya
"Shashank Udapurkar, Tanishaa Mukerji, Govind Namdeo, Rajit Kapur, Sharat Saxena, Kishor Kadam",Shashank Udapurkar,biographical,2016-10-14,2016,Anna
"Saurav Chakraborty, Omi Sharma",Suhas D. Kadavand,"animation,comedy,adventure",2016-10-14,2016,Motu Patlu: King of Kings
"Sunny Leone, Rajneesh Duggal, Daniel Weber",Rajeev Chaudhary,thriller,2016-10-14,2016,Beiimaan Love
"Manoj Bajpayee, Anupam Kher, Kay Kay Menon, Annu Kapoor, Vijay Raaz, Aditi Sharma",Sanjeev Sharma,comedy,2016-10-14,2016,Saat Uchakkey
"Swati Kapoor, Monali A, Pawan Kumar Sharma, Anurag Basu",Sunil Subramani,drama,2016-10-14,2016,Fuddu
"Manisha Singh, Vinay Rana",Mithilesh Avinash,social drama,2016-10-14,2016,Aakhir Kab Tak
"Nana Patekar, Arjun Sarja, Kajal Aggarwal, Rukmini Vijayakumar",Bharathiraja,thriller,2016-10-21,2016,Final Cut of Director
"Ajaz khan, Sahil anand, Harsh nagar, Anant Mahadevan, Vaibhav Mathur, Shalu Singh, Amit khanna, Devendra Chauhan","Sandeep Choudhary, Harish Kotian",comedy thriller,2016-10-21,2016,Love Day - Pyaar Ka Din
"Prateik Babbar, Suraj Sharma, Tony Revolori, Adil Hussain, Nidhi Bisht",Prashant Nair,drama,2016-10-21,2016,Umrika
"Vir Das, Soha Ali Khan",Shivaji Lotan Patil,"drama,thriller",2016-10-21,2016,31st October
"Narendra Jha, Komal Thacker, Paresh Mehta",Suzad Iqbal Khan,nan,2016-10-21,2016,My Father Iqbal
"Ajay Devgn, Sayyeshaa, Erika Kaar, Ali Kazmi, Jabbz Farooqi, Vir Das, Bijou Thaangjam",Ajay Devgn,"drama,action",2016-10-28,2016,Shivaay
"Ranbir Kapoor, Aishwarya Rai, Anushka Sharma",Karan Johar,drama,2016-10-28,2016,Ae Dil Hai Mushkil
Harman Baweja,Harry Baweja,animation,2016-11-11,2016,Chaar Sahibzaade: Rise of Banda Singh Bahadur
"Gashmeer Mahajani, Reecha Sinha, Ronit Roy, Sachin Suvarna, Ashmit Patel",Hadi Ali Abrar,"action,thriller",2016-11-11,2016,Dongri Ka Raja
"Rajbeer Singh, Akshay Rangshahi, Divya Singh, Raj Aryan",Sanjay Sharma,"romantic,erotic",2016-11-11,2016,Ishq Junoon
"Farhan Akhtar, Arjun Rampal, Purab Kohli, Shraddha Kapoor, Prachi Desai, Shashank Arora, Shahana Goswami",Sujaat Saudagar,drama,2016-11-11,2016,Rock On 2
"Neha Sharma, Aditya Seal, Aashim Gulati",Anubhav Sinha,romance,2016-11-18,2016,Tum Bin II
"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",Abhinay Deo,action,2016-11-18,2016,Force 2
"Alia Bhatt, Shah Rukh Khan, Ira Dubey, Kunal Kapoor",Gauri Shinde,drama,2016-11-25,2016,Dear Zindagi
"Rajneesh Duggal, Sonarika Bhadoria, Hiten Tejwani, Neetha Shetty, Sachi Ruia, Amir Dalvi, Vishal Malhotra",Rajiv S. Ruia,"romantic,horror",2016-11-25,2016,Saansein
"Ranvir Shorey, Neha Dhupia, Vidhushi Mehra, Ashwat Bhatt",Munish Bharadwaj,crime drama,2016-11-25,2016,Moh Maya Money
"Vidya Balan, Arjun Rampal, Jugal Hansraj",Sujoy Ghosh,thriller,2016-12-02,2016,Kahaani 2: Durga Rani Singh
"Ranveer Singh, Vaani Kapoor",Aditya Chopra,romance,2016-12-09,2016,Befikre
"Sana Khan, Sharman Joshi, Gurmeet Choudhary, Rajneesh Duggal",Vishal Pandya,"romance,drama",2016-12-16,2016,Wajah Tum Ho
"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim",Nitesh Tiwari,biopic,2016-12-23,2016,Dangal
"Sobhita Dhulipala,Mrunal Thakur,Avinash Tiwary,Janhvi Kapoor,Surekha Sikri,Raghuvir Yadav,Gulshan Devaiah,Vijay Varma,Pavail Gulati,Jyoti Subhash,Eva Ameet Pardeshi,Kitu Gidwani,Sumit Tandon","Karan Johar,Dibakar Banerjee,Zoya Akhtar,Anurag Kashyap",,2020-01-01,2020,Ghost Stories
"Hemant Pandey, Hrishitaa Bhatt, Vrajesh Hirjee, Manoj Joshi, Sanjay Mishra, Manoj Pahwa",Manoj Sharma,comedy,2017-01-06,2017,Prakash Electronic
"Nakul Vaid, Jatin Grewal, Gurleen Choter",Sanjay Niranjan,drama,2015-01-02,2015,International Hero
"Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar",Sneha Taurani,,2020-01-03,2020,Bhangra Paa Le
"Akshaye Khanna,Riva Kishan,Priyank Sharma",Karan Vishwanath Kashyap,,2020-01-03,2020,Sab Kushal Mangal
"Hema Malini,Rajkummar Rao,Rakul Preet Singh",Ramesh Sippy,,2020-01-03,2020,Shimla Mirchi
"Neelofar Hamid,Shahnawaz Bhat,Mir Sarwar,Haseena Sofi",Danish Renzu,,2020-01-06,2020,Half Widow
"Deepika Padukone,Vikrant Massey",Meghna Gulzar,,2020-01-10,2020,Chhapaak
"Ajay Devgn,Saif Ali Khan,Kajol,Sharad Kelkar",Om Raut,,2020-01-10,2020,Tanhaji
"Abhijeet Singh,Arindita Kalita",Jugal Raja,,2020-01-17,2020,Bunker
"Sunny Singh,Sonnalli Seygall,Poonam Dhillon,Supriya Pathak",Navjot Gulati,,2020-01-17,2020,Jai Mummy Di
"Kangana Ranaut,Jassi Gill,Richa Chadha,Neena Gupta",Ashwiny Iyer Tiwari,,2020-01-24,2020,Panga
"Varun Dhawan,Shraddha Kapoor,Prabhu Deva,Nora Fatehi,Aparshakti Khurana,Murali Sharma,Raghav Juyal,Dharmesh Yelande,Punit Pathak,Jigar Rupareliya,Sonam Bajwa",Remo D'Souza,,2020-01-24,2020,Street Dancer 3D
"Reem Shaikh,Atul Kulkarni,Divya Dutta,Om Puri,Arif Zakaria,Mukesh Rishi,Abhimanyu Singh,Pankaj Tripathi",H.E. Amjad khan,,2020-01-31,2020,Gul Makai
"Himesh Reshammiya,Sonia Mann",Raka,,2020-01-31,2020,Happy Hardy and Heer
"Saif Ali Khan,Tabu,Alaya Furniturewala",Nitin Kakkar,,2020-01-31,2020,Jawaani Jaaneman
"Aditya Pratap Singh,Mandeep Kaur Mannnat,Sonia Sharma,Liliput,Faruque,Ravi Mann,Abhinaye Sharma,Sahil Patel,Amber Upadhyay","Vikas P Kavvthekaar, Aps Raghuvanshi",,2020-01-31,2020,Pagleaazam
"Amit Sadh,Rahul Dev,Aakash Dahiya,Rucha Inamdar",Sanjay Gadhvi,,2020-02-04,2020,Operation Parindey
"Hina Khan,Rohan Shah,Mohit Malhotra,Sid Makkar",Vikram Bhatt,,2020-02-07,2020,Hacked
"Sanjay Mishra,Shikha Malhotra",Dedipya Joshii,,2020-02-07,2020,Kaanchli Life in a Slough
"Aditya Roy Kapur,Disha Patani,Anil Kapoor,Elli AvrRam,Amruta Khanvilkar",Mohit Suri,,2020-02-07,2020,Malang
"Neeraj Sood,Apoorva Arora,Atul Srivastav",Anant Tripathi,,2020-02-07,2020,Yahan Sabhi Gyani Hain
"Aadil Khan,Sadia Khateeb",Vidhu Vinod Chopra,,2020-02-07,2020,Shikara
"Harsh Kumar,Tullika Singh",Deepak Baldev Thakur,,2020-02-14,2020,Khawab Sare Jhoothey
"Kartik Aaryan,Sara Ali Khan,Randeep Hooda",Imtiaz Ali,,2020-02-14,2020,Love Aaj Kal
"Divyenndu,Shweta Basu Prasad,Sheetal Thakur",Bishnu Dev Halder,,2020-02-14,2020,Shukranu
"Vicky Kaushal,Bhumi Pednekar",Bhanu Pratap Singh,,2020-02-21,2020,Bhoot – Part One: The Haunted Ship
"Kavita Tripathi,Dinesh Bawra,Jaid Shaikh",Dushyant Pratap Singh,,2020-02-21,2020,The Hundred Bucks
