cast,director,opening_date,opening_year,title
"Aditya Pratap Singh,Mandeep Kaur Mannnat,Sonia Sharma,Liliput,Faruque,Ravi Mann,Abhinaye Sharma,Sahil Patel,Amber Upadhyay","Vikas P Kavvthekaar, Aps Raghuvanshi",2020-01-31,2020,Pagleaazam
"Amit Sadh,Rahul Dev,Aakash Dahiya,Rucha Inamdar",Sanjay Gadhvi,2020-02-04,2020,Operation Parindey
"Hina Khan,Rohan Shah,Mohit Malhotra,Sid Makkar",Vikram Bhatt,2020-02-07,2020,Hacked
"Sanjay Mishra,Shikha Malhotra",Dedipya Joshii,2020-02-07,2020,Kaanchli Life in a Slough
"Aditya Roy Kapur,Disha Patani,Anil Kapoor,Elli AvrRam,Amruta Khanvilkar",Mohit Suri,2020-02-07,2020,Malang
"Neeraj Sood,Apoorva Arora,Atul Srivastav",Anant Tripathi,2020-02-07,2020,Yahan Sabhi Gyani Hain
"Aadil Khan,Sadia Khateeb",Vidhu Vinod Chopra,2020-02-07,2020,Shikara
"Harsh Kumar,Tullika Singh",Deepak Baldev Thakur,2020-02-14,2020,Khawab Sare Jhoothey
"Kartik Aaryan,Sara Ali Khan,Randeep Hooda",Imtiaz Ali,2020-02-14,2020,Love Aaj Kal
"Divyenndu,Shweta Basu Prasad,Sheetal Thakur",Bishnu Dev Halder,2020-02-14,2020,Shukranu
"Vicky Kaushal,Bhumi Pednekar",Bhanu Pratap Singh,2020-02-21,2020,Bhoot – Part One: The Haunted Ship
"Kavita Tripathi,Dinesh Bawra,Jaid Shaikh",Dushyant Pratap Singh,2020-02-21,2020,The Hundred Bucks
"Ayushmann Khurrana,Jitendra Kumar,Gajraj Rao,Neena Gupta,Manurishi Chaddha,Sunita Rajwar,Maanvi Gagroo,Pankhuri Awasthy,Neeraj Singh",Hitesh Kewalya,2020-02-21,2020,Shubh Mangal Zyada Saavdhan
"Julian Sands,Achintya Bose,Manish Chauhan",Sooni Taraporevala,2020-02-21,2020,Yeh Ballet
"Mahie Gill,Manu Rishi Chaddha,Dolly Ahluwalia,Supriya Shukla,Rajesh Sharma,Mehak Manwani,Sumit Gulati",Gagan Puri,2020-02-28,2020,Doordarshan
"Karan Nath,Nathalia Kaur,Abhimanyu Singh,Ganesh Venkatraman,Shilpa Shirodkar,Zarina Wahab,Mohan Agashe,Tej Sapru",Sekhar Suri,2020-02-28,2020,Guns of Banaras
"Zuber K. Khan,Diana Khan",Sanjeev Kumar Rajput,2020-02-28,2020,Haunted Hills
"Krushna Abhishek,Karthik Jayaram,Arjumman Mughal",Dinkar Kapoor,2020-02-28,2020,O Pushpa I Hate Tears
"Taapsee Pannu,Pavail Gulati,Maya Sarao,Naila Grewal",Anubhav Sinha,2020-02-28,2020,Thappad
"Shivin Narang,Chandan Roy Sanyal,Ali Murad,Hardik Sanghani,Tillotama Shome,Priya Banerjee",Ravi Adhikari,2020-03-02,2020,Dheet Patangey
"Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor,Ankita Lokhande",Ahmed Khan,2020-03-06,2020,Baaghi 3
"Kiara Advani,Akansha Ranjan Kapoor,Gurfateh Singh Pirzada,Taher Shabbir,Dalip Tahil,Kunal Vijaykar,Manu Rishi,Janya Joshi,Chayan Chopra",Ruchi Narain,2020-03-06,2020,Guilty
"Sanjay Mishra,Deepak Dobriyal",Hardik Mehta,2020-03-06,2020,Kaamyaab
"Irrfan Khan,Kareena Kapoor,Radhika Madan,Deepak Dobriyal,Pankaj Tripathi",Homi Adajania,2020-03-13,2020,Angrezi Medium
"Manisha Koirala,Nikita Dutta,Javed Jaffrey,Prit Kamani,Shirley Setia",Neeraj Udhwani,2020-03-27,2020,Maska
"Aditya Rawal,Shalini Pandey,Vijay Varma",Ranjan Chandel,2020-04-10,2020,Bamfaad
"Saif Ali Khan, Isha Talwar, Shenaz Treasury, Akshay Oberoi, Vijay Raaz, Deepak Dobriyal, Sobhita Dhulipala, Kunaal Roy Kapur, Nary Singh",Akshat Verma,2018-01-12,2018,Kaalakaandi
"Vineet Kumar Singh, Zoya Hussain, Ravi Kishan, Jimmy Sheirgill",Anurag Kashyap,2018-01-12,2018,Mukkabaaz
"Jennifer Winget, Kunal Kohli, Rajit Kapur",Kunal Kohli,2018-01-15,2018,Phir Se...
"Sanjay Suri, Nora Fatehi, Pitobash",Samir Soni,2018-01-19,2018,My Birthday Song
"Kay Kay Menon, Mandira Bedi, Raima Sen, Sharib Hashmi",Kushal Srivastava,2018-01-19,2018,Vodka Diaries
"Arbaaz Khan, Manjari Fadnis, Ashmit Patel, Mukul Dev, Mahek Chahal",Pradeep Rangwani,2018-01-19,2018,Nirdosh
"Rahul Bhat, Tillotama Shome",Sanjay Patel,2018-01-19,2018,Union Leader
"Shahid Kapoor, Deepika Padukone, Ranveer Singh, Aditi Rao Hydari",Sanjay Leela Bhansali,2018-01-25,2018,Padmaavat
"Akshay Kumar, Sonam Kapoor, Radhika Apte",R. Balki,2018-02-09,2018,Pad Man
"Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghubir Yadav",Anand Tiwari,2018-02-14,2018,Love per Square Foot
"Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Anupam Kher, Naseeruddin Shah",Neeraj Pandey,2018-02-16,2018,Aiyaary
"Zain Khan Durrani, Geetanjali Thapa",Onir,2018-02-16,2018,Kuchh Bheege Alfaaz
"Raghu Raja, Abhishek Sharma, Kabir Bedi, Chetna Pande, Viju Khote",Akshay Anand,2018-02-16,2018,Jaane Kyun De Yaaron
"Kartik Aaryan, Nushrat Bharucha, Sunny Nijar",Luv Ranjan,2018-02-23,2018,Sonu Ke Titu Ki Sweety
"Anushka Sharma, Parambrata Chatterjee, Rajat Kapoor, Ritabhari Chakraborty, Mansi Multani",Prosit Roy,2018-03-02,2018,Pari
"Pulkit Samrat, Jimmy Sheirgill, Kriti Kharbanda, Satish Kaushik, Yuvika Chaudhary, Supriya Karnik",Ashu Trikha,2018-03-02,2018,Veerey Ki Wedding
"Urvashi Rautela, Vivan Bhatena, Karan Wahi, Ihana Dhillon, Gulshan Grover, Tia Bajpai, Shaad Randhawa",Vishal Pandya,2018-03-09,2018,Hate Story IV
"Saqib Saleem, Tapsee Pannu, Abhilash Thapleyal, Nidhi Singh, Srishti Srivastava, Ayesha Khaduskar",Aleya Sen,2018-03-09,2018,Dil Juunglee
"Richa Chaddha, Pulkit Samrat, Sharman Joshi, Renuka Shahane, Masumeh Makhija, Laksh Singh, Aisha Ahmed, Ankit Rathi",Arjun Mukerjee,2018-03-09,2018,3 Storeys
"Ajay Devgn, Ileana D'Cruz, Saurabh Shukla",Raj Kumar Gupta,2018-03-16,2018,Raid
Rani Mukerji,Siddharth P Malhotra,2018-03-23,2018,Hichki
"Rajpal Yadav, Mushtaq Khan, Rahul Bagga, Rohit Kumar, Dilbagh Singh, Naresh Gosain, Afreen Alvi, Radha Bhatt",Gurpreet Sondh,2018-03-23,2018,Shaadi Teri Bajayenge Hum Band
"Tiger Shroff, Disha Patani, Manoj Bajpayee, Randeep Hooda, Prateik Babbar",Ahmed Khan,2018-03-30,2018,Baaghi 2
"Irrfan Khan, Kirti Kulhari, Arunoday Singh, Divya Dutta, Omi Vaidya",Abhinay Deo,2018-04-06,2018,Blackmail
"Anshuman Jha,Riddhi Dogra,Milind Soman",Victor Mukherjee,2023-01-13,2023,Lakadbaggha
"Sidharth Malhotra,Rashmika Mandanna,Kumud Mishra,Sharib Hashmi",Shantanu Bagchi,2023-01-20,2023,Mission Majnu
"Rakul Preet Singh,Sumeet Vyas,Satish Kaushik,Rajesh Tailang,Dolly Ahluwalia",Tejas Deoskar,2023-01-20,2023,Chhatriwali
"Shah Rukh Khan,John Abraham,Deepika Padukone",Siddharth Anand,2023-01-25,2023,Pathaan
"Deepak Antani,Chinmay Mandlekar",Rajkumar Santoshi,2023-01-26,2023,Gandhi Godse – Ek Yudh
"Sunil Shetty,Randeep Hooda",Vishram Sawant,2023-01-26,2023,Operation Fryday[b]
"Alaya F,Karan Mehta",Anurag Kashyap,2023-02-03,2023,Almost Pyaar with DJ Mohabbat
"Zahan Kapoor,Aditya Rawal,Aamir Ali,Juhi Babbar",Hansal Mehta,2023-02-03,2023,Faraaz
"Anupam Kher,Neena Gupta,Jugal Hansraj,Nargis Fakhri,Sharib Hashmi",Ajayan Venugopalan,2023-02-10,2023,Shiv Shastri Balboa
"Shamita Shetty, Rudhraksh Jaiswal",Sushrut Jain,2023-02-10,2023,The Tenant[c]
"Yami Gautam,Pankaj Kapur,Rahul Khanna,Neil Bhoopalam,Pia Bajpiee,Tushar Pandey",Aniruddha Roy Chowdhury,2023-02-16,2023,Lost
"Kartik Aaryan,Kriti Sanon,Paresh Rawal,Manisha Koirala,Ronit Roy",Rohit Dhawan,2023-02-17,2023,Shehzada
"Akshay Kumar,Emraan Hashmi,Diana Penty,Nushrratt Bharuccha",Raj Mehta,2023-02-24,2023,Selfiee
"Sheeba Chadha,Nayab Khan,Helena Prinzen Klague",Shadab Khan,2023-02-24,2023,Rabia & Olivia
"Manoj Bajpayee,Sharmila Tagore,Simran,Suraj Sharma",Rahul V. Chittella,2023-03-03,2023,Gulmohar
"Ritika Singh,Manish Jhanjholia,Sandeep Goyat,Sunil Soni,Gyan Prakash",Harsh Warrdhan,2023-03-03,2023,InCar
"Ranbir Kapoor,Shraddha Kapoor",Luv Ranjan,2023-03-08,2023,Tu Jhoothi Main Makkaar
Rani Mukerji,Ashima Chibber,2023-03-17,2023,Mrs. Chatterjee vs Norway
"Kapil Sharma,Shahana Goswami",Nandita Das,2023-03-17,2023,Zwigato
"Anushka Sen,Neelu Dogra,Pooja Dargan,Tariq Khan,Ahmer Haider",Rahat Kazmi,2023-03-17,2023,Am I Next
"Yami Gautam,Sunny Kaushal,Sharad Kelkar",Ajay Singh,2023-03-24,2023,Chor Nikal Ke Bhaga
"Rajkummar Rao,Bhumi Pednekar,Dia Mirza,Ashutosh Rana,Pankaj Kapur",Anubhav Sinha,2023-03-24,2023,Bheed
"Jimmy Shergill,Hritiqa Chheber,Lee Nicholas Harris,Vedieka Dutt,Ankur Bhatia,Sneha Singh",Sudipto Sarkar,2023-03-24,2023,Operation Mayfair
"Kunal Khemu,Shweta Tripathi,Piyush Mishra,Alka Amin,Raju Srivastav",Vipul Mehta,2023-03-24,2023,Kanjoos Makhichoos
"Ajay Devgn,Tabu",Ajay Devgn,2023-03-30,2023,Bholaa
"Vikrant Massey,Sara Ali Khan,Chitrangda Singh",Pawan Kripalani,2023-03-31,2023,Gaslight
"Aditya Roy Kapur,Mrunal Thakur,Ronit Roy",Vardhan Ketkar,2023-04-07,2023,Gumraah
"Rajeev Khandelwal,Chelsie Preston Crayford,Usha Jadhav",Abhijit Deonath,2019-01-04,2019,Salt Bridge
"Priyamani,Sanjay Suri,Rajeev Khandelwal",Tanuj Bhramar,2020-04-21,2020,Ateet
"Jacqueline Fernandez,Manoj Bajpayee,Mohit Raina,Zayn Marie",Shirish Kunder,2020-05-01,2020,Mrs. Serial Killer
"Rajeev Khandelwal,Saksham Dayma,Swapnil Kotiwar",Sourabh Srivastava,2020-05-06,2020,Court Martial
"Yashaswini Dayama,Karanvir Malhotra,Abhay Deol",Megha Ramaswamy,2020-05-20,2020,What Are the Odds
"Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha,Anurag Kashyap,Deepika Amin,Raghuvir Yadav,Ila Arun,Swanand Kirkire",Pushpendra Nath Misra,2020-05-22,2020,Ghoomketu
"Sunny Pawar,Joyraj Bhattacharya,Sumeet Thakur,Gautam Sarkar,Masood Akhtar,Kalpan Mitra",Safdar Rehman,2020-06-01,2020,Chippa
"Vinay Pathak,Tillotama Shome,Nate Scholz","Devanshu Kumar,Satyanshu Singh",2020-06-05,2020,Chintu Ka Birthday
"Saiyami Kher,Roshan Mathew,Amruta Subhash,Rajshri Deshpande",Anurag Kashyap,2020-06-05,2020,Choked
"Dolly Ahluwalia,Sayani Gupta,Tenzin Dalha,Vinay Pathak,Lin Laishram,Asenla Jamir,Lanuakum Ao",Nicholas Kharkongor,2020-06-12,2020,Axone
"Farrukh Jaffar,Amitabh Bachchan,Ayushmann Khurrana,Vijay Raaz,Brijendra Kala,Nalneesh Neel",Shoojit Sircar,2020-06-12,2020,Gulabo Sitabo
"Kalki Koechlin,Ranvir Shorey,Shruti Seth,Manoj Pahwa,Tara Sharma,Cyrus Sahukar,Mansi Multani",Rajat Kapoor,2020-06-18,2020,Kadakh
"Jitendra Kumar,Ritika Badiani",Apurva Dhar Badgaiyann,2020-06-19,2020,Chaman Bahaar
"Tripti Dimri,Avinash Tiwary,Rahul Bose,Parambrata Chatterjee,Paoli Dam",Anvita Dutt,2020-06-24,2020,Bulbbul
"Manoj Bajpayee,Santosh Juvekar,Ipshita Chakraborty Singh,Abhishek Banerjee",Devashish Makhija,2020-06-26,2020,Bhonsle
"Kushal Tandon,Hina Khan,Rishabh Sinha,Aditi Arya",Debatma Mandal,2020-06-27,2020,Unlock
"Tabu, Manoj Bajpayee, Annu Kapoor",Mukul Abhyankar,2018-04-06,2018,Missing
"Varun Dhawan, Banita Sandhu, Gitanjali Rao",Shoojit Sircar,2018-04-13,2018,October
"Prabhu Deva, Sananth Reddy, Remya Nambeesan",Karthik Subbaraj,2018-04-13,2018,Mercury
"Shweta Tripathi, Shashank Arora, Rahul Kumar",Shlok Sharma,2018-04-13,2018,Zoo
"Ishaan Khatter, Malavika Mohanan",Majid Majidi,2018-04-20,2018,Beyond the Clouds
"Patralekhaa, Abhay Deol, Sapna Chaudhary",Faraz Haider,2018-04-20,2018,Nanu Ki Jaanu
"Richa Chaddha, Aditi Rao Hydari, Rahul Bhat, Saurabh Shukla, Vipin Sharma, Vineet Kumar Singh, Dalip Tahil, Anurag Kashyap",Sudhir Mishra,2018-04-27,2018,Daas Dev
"Anjali Patil, Karan Dave",M.M Shanklya,2018-04-27,2018,Meri Nimmo
"Amitabh Bachchan, Rishi Kapoor",Umesh Shukla,2018-05-04,2018,102 Not Out
Rajkummar Rao,Hansal Mehta,2018-05-04,2018,Omerta
"Vicky Kaushal, Alia Bhatt",Meghna Gulzar,2018-05-11,2018,Raazi
"Naseeruddin Shah, Sonali Kulkarni, Aamir Bashir",Sudip Bandyopadhyay,2018-05-11,2018,Hope Aur Hum
"Aarav Negi, Goonj Chand, Azhar, Pihu Sharma, Dhiraj Singh",Dhiraj Singh,2018-05-11,2018,Falooda
"Sumeet Vyas, Sonnalli Seygall, Mantra, Taaruk Raina, Priyanshu Painyuli, Kumud Mishra, Natasha Rastogi",Akash Khurana,2018-05-18,2018,High Jack
"Vinay Pathak, Manoj Pahwa, Seema Pahwa, Dolly Ahluwalia, Sabah Kapoor",Harsh Chhaya,2018-05-18,2018,Khajoor Pe Atke
"John Abraham, Diana Penty, Boman Irani",Abhishek Sharma,2018-05-25,2018,Parmanu: The Story Of Pokhran
"Danny Denzongpa, Geetanjali Thapa, Tisca Chopra, Adil Hussain",Deb Medhekar,2018-05-25,2018,Bioscopewala
"Kareena Kapoor, Sonam Kapoor, Swara Bhaskar, Shikha Talsania, Sumeet Vyas",Shashanka Ghosh,2018-06-01,2018,Veere Di Wedding
"Harshvardhan Kapoor, Priyanshu Painyuli, Nishikant Kamat",Vikramaditya Motwane,2018-06-01,2018,Bhavesh Joshi Superhero
"Jackie Shroff, Jimmy Sheirgill, Kay Kay Menon, Shriya Saran, Mahie Gill, Pankaj Tripathi",Karan Lalit Butani,2018-06-01,2018,Phamous
"Anil Kapoor, Bobby Deol, Daisy Shah, Freddy Daruwala, Jacqueline Fernandez, Salman Khan, Saqib Saleem",Remo D'Souza,2018-06-15,2018,Race 3
"Radhika Apte, Sanjay Kapoor, Kiara Advani, Vicky Kaushal, Neha Dhupia, Neil Bhoopalam, Bhumi Pednekar, Manisha Koirala, Akash Thosar","Anurag Kashyap, Karan Johar, Zoya Akhtar, Dibakar Banerjee",2018-06-15,2018,Lust Stories
Ranbir Kapoor,Rajkumar Hirani,2018-06-29,2018,Sanju
,Ezhil Vendan,2018-07-06,2018,Hanuman vs Mahiravana
"Radhika Apte,Rajesh Sharma,Sumeet Vyas,Angana Roy,Amrita Chattopadhyay,Indrasish Roy",Anushree Mehta,2023-04-14,2023,Mrs. Undercover
"Seema Biswas,Ariana Sajnani,Hemant Deolekar,Jyoti Dubey,Shubhangini Srivas",Praveen Morchhale,2023-04-14,2023,Sir Madam Sarpanch
"Akshay Singh,Sulagna Panigrahi,Khushboo Gupta,Vishwanath Chatterjee",Akshay Singh,2023-04-14,2023,Pinky Beauty Parlour
"Salman Khan,Pooja Hegde,Venkatesh,Shehnaaz Gill,Jagapathi Babu",Farhad Samji,2023-04-21,2023,Kisi Ka Bhai Kisi Ki Jaan
"Namashi Chakraborty,Amrin Qureshi,Saswata Chatterjee,Darshan Jariwala,Johnny Lever",Rajkumar Santoshi,2023-04-28,2023,Bad Boy
"Alaya F,Priyanshu Painyuli,Aashim Gulati,Manu Rishi, Rajesh Sharma",Arif Khan,2023-04-28,2023,U-Turn
"Deepti Naval,Jacqueline Fitschi-Cornaz,Banita Sandhu",Kamal Musale,2023-05-05,2023,Mother Teresa & Me
"Nawazuddin Siddiqui,Bhumi Pednekar,Sumeet Vyas,Sharib Hashmi",Sudhir Mishra,2023-05-05,2023,Afwaah
"Adah Sharma,Yogita Bihani,Sonia Balani,Siddhi Idnani",Sudipto Sen,2023-05-05,2023,The Kerala Story
"Bellamkonda Sreenivas,Nushrratt Bharuccha,Sahil Vaid",V. V. Vinayak,2023-05-12,2023,Chatrapathi
"Sharman Joshi,Prakash Raj,Shriya Saran,Suhasini Mulay,Mona Ambegaonkar,Gracy Goswami",Papa Rao Biyyala,2023-05-12,2023,Music School
"Vidyut Jammwal,Anupam Kher,Vishal Jethwa,Niharica Raizada",Sankalp Reddy,2023-05-12,2023,IB71
"Sanya Malhotra,Anant V Joshi,Vijay Raaz,Rajpal Yadav,Brijendra Kala",Yashowardhan Mishra,2023-05-19,2023,Kathal
"Jimmy Shergill,Abhimanyu Singh,Indraneil Sengupta,Raza Murad,Sayaji Shinde",Shravan Tiwari,2023-05-19,2023,Aazam
"Gulshan Devaiah,Saiyami Kher",Raj R,2023-05-19,2023,8 A.M. Metro
"Radhika Madan,Rajat Barmecha,Ayush Mehra",Shubham Yogi,2023-05-19,2023,Kacchey Limbu
"Manoj Bajpayee,Kaustav Sinha,Nikhil Pandey",Apoorva Singh Karki,2023-05-23,2023,Sirf Ek Bandaa Kaafi Hai
"Nawazuddin Siddiqui,Neha Sharma,Sanjay Mishra,Mahaakshay Chakraborty",Kushan Nandy,2023-05-26,2023,Jogira Sara Ra Ra
"Sanjay Mishra,Vivaan Shah,Pooja Pandey,Sonal Jha",Akshay Ditti,2023-05-26,2023,Coat
"Vicky Kaushal,Sara Ali Khan",Laxman Utekar,2023-06-02,2023,Zara Hatke Zara Bachke
"Vikrant Massey,Vijay Sethupathi,Tanya Maniktala,Ranvir Shorey,Sachin Khedekar",Santosh Sivan,2023-06-02,2023,Mumbaikar
"Shahid Kapoor,Sanjay Kapoor,Diana Penty,Ronit Roy,Vivan Bhatena",Ali Abbas Zafar,2023-06-09,2023,Bloody Daddy
"Saif Ali Khan,Prabhas,Kriti Sanon,Sunny Singh",Om Raut,2023-06-16,2023,Adipurush[a]
"Rakul Preet Singh,Akshay Oberoi,Pavail Gulati",Nikhil Mahajan,2023-06-16,2023,I Love You
"Avika Gor,Rahul Dev,Barkha Bisht,Randheer Rai",Krishna Bhatt,2023-06-23,2023,1920: Horrors of the Heart
"Nawazuddin Siddiqui,Avneet Kaur",Sai Kabir,2023-06-23,2023,Tiku Weds Sheru
"Sonnalli Seygall,Vardhan Puri,Siddhanth Kapoor",Sarim Momin,2023-06-23,2023,Aseq
"Kartik Aaryan,Kiara Advani,Gajraj Rao,Supriya Pathak",Sameer Vidwans,2023-06-29,2023,Satyaprem Ki Katha
"Amruta Subhash,Angad Bedi,Neena Gupta,Mrunal Thakur,Kumud Mishra,Tamannaah Bhatia,Kajol,Tillotama Shome,Vijay Varma","R. Balki,Konkona Sen Sharma,Amit Ravindernath Sharma,Sujoy Ghosh",2023-06-29,2023,Lust Stories 2
"Randeep Hooda,Adil Hussain,Sapna Pabbi,Arun Govil,Sonia Goswami",Prawaal Raman,2023-06-30,2023,Sergeant
"Vidya Balan,Ram Kapoor,Rahul Bose,Shahana Goswami,Neeraj Kabi,Prajakta Koli,Shashank Arora,Amrita Puri",Anu Menon,2023-07-07,2023,Neeyat
"Richa Chadda,Gulshan Devaiah,S. Sreesanth",Kaustav Narayan Niyogi,2019-01-09,2019,Cabaret
"Vicky Kaushal,Mohit Raina,Paresh Rawal,Yami Gautam",Aditya Dhar,2019-01-11,2019,Uri: The Surgical Strike
"Shoaib Ibrahim,Elena Kazan,Farnaz Shetty,Vishwas Kini,Vicky Ahuja,Vikas Srivastava,Chandraprakash Thakur",Brijesh Batuknath Tripathi,2019-01-11,2019,Battalion 609
"Anupam Kher,Akshaye Khanna,Suzanne Bernert,Aahana Kumra,Arjun Mathur",Vijay Ratnakar Gutte,2019-01-11,2019,The Accidental Prime Minister
"Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi,Arpit Chaudhary",Sridhar Rangayan,2019-01-11,2019,Evening Shadows
"Emraan Hashmi,Shreya Dhanwanthary",Soumik Sen,2019-01-18,2019,Why Cheat India
"Jimmy Shergill,Yuvika Chaudhary,Yashpal Sharma",Manoj K Jha,2019-01-18,2019,SP Chauhan
"Arshad Warsi,Sara Loren,Saurabh Shukla",Sourabh Shrivastava,2019-01-18,2019,Fraud Saiyaan
"Geetika Vidhya Olyan,Saloni Batra",Ivan Ayr,2019-01-18,2019,Soni
"Avinash Dhyani,Mukesh Tiwari,Virendra Saxena,Alka Amin Shishir Sharma,Gireesh Sahdev,Prashil Rawat",Avinash Dhyani,2019-01-18,2019,72 Hours: Martyr Who Never Died
"Radhika Apte,Siddhanth Kapoor,Akshay Oberoi,Shilpa Shukla,Adil Hussain,Amit Sial,Ravi Kishan",Pia Sukanya,2019-01-18,2019,Bombairiya
"Govinda,Shakti Kapoor,Prem Chopra,Govind Namdev,Shyamlal Yadav,Mishika Chourasia,Anupama Agnihotri,Digangana Suryavanshi,Karishma Harshada,Arti Gupta",Sikander Bharti,2019-01-18,2019,Rangeela Raja
"Nawazuddin Siddiqui,Amrita Rao",Abhijit Panse,2019-01-25,2019,Thackeray
"Kangana Ranaut,Jisshu Sengupta,Suresh Oberoi,Ankita Lokhande,Danny Denzongappa,Atul Kulkarni,Mohammed Zeeshan Ayyub","Radha Krishna Jagarlamudi,Kangana Ranaut",2019-01-25,2019,Manikarnika: The Queen of Jhansi
"Anil Kapoor,Sonam Kapoor,Juhi Chawla,Rajkummar Rao",Shelly Chopra Dhar,2019-02-01,2019,Ek Ladki Ko Dekha Toh Aisa Laga
"Farhan Akhtar,Annu Kapoor",Anand Surapur,2019-02-08,2019,The Fakir of Venice
"Sapna Choudhry,Vikrant Anand,Neel Motwani,Zuber K. Khan,Anju Jadhav",Hadi Ali Abrar,2019-02-08,2019,Dosti Ke Side Effects
"Sachiin Joshi,Vivan Bhatena,Nargis Fakhri",Bhushan Patel,2019-02-08,2019,Amavas
"Ranveer Singh,Alia Bhatt",Zoya Akhtar,2019-02-14,2019,Gully Boy
"Prit Kamani,Simran Sharma,Anshuman Malhotra,Tushar Pandey",Abhishek Dixit,2019-02-15,2019,Hum Chaar
"Ajay Devgn,Madhuri Dixit,Arshad Warsi,Javed Jaffrey,Anil Kapoor,Riteish Deshmukh,Sanjay Mishra,Esha Gupta",Indra Kumar,2019-02-22,2019,Total Dhamaal
"Manish Bhawan,Rajeev Raj,Shailendra Pande",Shilpa Ranade,2019-03-01,2019,Goopi Gawaiya Bagha Bajaiya
"Kartik Aaryan,Kriti Sanon,Aparshakti Khurana,Pankaj Tripathi,Vinay Pathak",Laxman Utekar,2019-03-01,2019,Luka Chuppi
"Sushant Singh Rajput,Bhumi Pednekar,Manoj Bajpayee,Ranvir Shorey,Ashutosh Rana",Abhishek Chaubey,2019-03-01,2019,Sonchiriya
"Amitabh Bachchan,Taapsee Pannu",Sujoy Ghosh,2019-03-08,2019,Badla
"Bidita Bag,Chandan Roy Sanyal",Aditya Sarpotdar,2019-03-08,2019,The Sholay Girl
"Talha Arshad Reshi,Rasika Dugal,Vikas Kumar,Sumit Kaul",Aijaz Khan,2019-03-15,2019,Hamid
"Nawazuddin Siddiqui,Sanya Malhotra",Ritesh Batra,2019-03-15,2019,Photograph
"Ali Fazal,Shraddha Srinath,Reecha Sinha,Ashutosh Rana,Sanjay Mishra,Sikandar Kher",Tigmanshu Dhulia,2019-03-15,2019,Milan Talkies
"Sachin Khari,Aarun Nagar,Shahbaz Khan,Pramod Moutho,Ravi Verma",Aarun Nagar,2019-03-15,2019,Risknamaa
"Anjali Patil,Makarand Deshpande,Rasika Aagashe,Sonia Albizuri,Syna Anand,Adarsh Bharti,Om Kanojiya",Rakeysh Omprakash Mehra,2019-03-15,2019,Mere Pyare Prime Minister
"Barun Sobti,Amartya Ray,Panchi Bora,Rajit Kapur,Rajesh Sharma,Chaiti Ghoshal,Geetika Tyagi",Mitali Ghoshal,2019-03-15,2019,22 Yards
"Shashank Arora,Mohammed Zeeshan Ayyub,Tanvi Azmi,Maanvi Gagroo",Faruk Kabir,2019-03-19,2019,377 Ab Normal
"Akshay Kumar,Parineeti Chopra,Mir Sarwar,Ashwath Bhatt",Anurag Singh,2019-03-21,2019,Kesari
"Abhimanyu Dassani,Radhika Madan,Gulshan Devaiah,Mahesh Manjrekar,Jimit Trivedi,Shweta Basu Prasad",Vasan Bala,2019-03-21,2019,Mard Ko Dard Nahi Hota
"Govind Namdeo,Manoj Joshi,Najneen Patni,Rajveer Singh",Sanoj Mishra,2019-03-29,2019,Ram Ki Janmabhoomi
"Zaheer Iqbal,Pranutan Bahl",Nitin Kakkar,2019-03-29,2019,Notebook
"Vidyut Jammwal,Pooja Sawant,Asha Bhat,Atul Kulkarni",Chuck Russell,2019-03-29,2019,Junglee
"Shweta Tripathi,Jitendra Kumar,Vipin Sharma,Deepika Amin,Brijendra Kala",Qasim Khallow,2019-03-29,2019,Gone Kesh
"John Abraham,Mouni Roy,Jackie Shroff,Sikander Kher,Suchitra Krishnamoorthi",Robbie Garewal,2019-04-05,2019,Romeo Akbar Walter
"Diljit Dosanjh, Taapsee Pannu, Angad Bedi",Shaad Ali,2018-07-13,2018,Soorma
"Mousam Sharma, Swati Bakshi, Rahul Avana, Mohit Baghel, Heena Panchal, Hemant Pandey, Vikas Giri Manoj Bakshi, Himani Shivpuri,",Sudhish Kumar Sharma,2018-07-20,2018,When Obama Loved Osama
"Ishaan Khatter, Jhanvi Kapoor",Shashank Khaitan,2018-07-20,2018,Dhadak
"Sanjay Dutt, Jimmy Sheirgill, Mahi Gill, Chitrangada Singh, Soha Ali Khan",Tigmanshu Dhulia,2018-07-27,2018,"Saheb, Biwi Aur Gangster 3"
"Raghav Juyal, Punit Pathak, Dharmesh Yelande, Isha Rikhi",Jayesh Pradhan,2018-07-27,2018,Nawabzaade
"Anil Kapoor, Aishwarya Rai Bachchan, Rajkummar Rao, Karan Singh Chhabra, Divya Dutta",Atul Manjrekar,2018-08-03,2018,Fanney Khan
"Rishi Kapoor, Prateik Babbar, Rajat Kapoor, Taapsee Pannu, Ashutosh Rana, Manoj Pahwa, Neena Gupta",Anubhav Sinha,2018-08-03,2018,Mulk
"Arjun Mathur, Nidhi Singh, Vijayant Kohli, Sunny Hinduja",Nikhil Bhatt,2018-08-03,2018,Brij Mohan Amar Rahe!
